IDfg,Name,avg_ab,avg_r,avg_h,avg_3b,avg_hr,avg_rbi,avg_sb,avg_avg,hits_above_avg,avg_obp,obp_above_avg,avg_slg,slg_above_avg,total_hits,total_at_bats,total_walks,total_hbp,total_sf,total_pa,total_2b,total_3b,total_hr,stddev_AB,stddev_R,stddev_H,stddev_3B,stddev_HR,stddev_RBI,stddev_SB,stddev_AVG,stddev_OBP,stddev_SLG,SeasonsPlayed,LatestAge,eligible_positions,consistency_AB,consistency_R,consistency_H,consistency_3B,consistency_HR,consistency_RBI,consistency_SB,consistency_AVG,consistency_OBP,consistency_SLG,overall_consistency,overall_consistency_cat,value_r,value_h,value_3b,value_hr,value_rbi,value_sb,value_hits_above_avg,value_obp_above_avg,value_slg_above_avg,total_value,rf_rank,lf_rank,cf_rank,3b_rank,2b_rank,ss_rank,c_rank,util_rank,1b_rank,adjusted_total_value,player_draft_value
19755,Shohei Ohtani,540.0,98.33333333333333,149.66666666666666,7.333333333333333,41.333333333333336,96.66666666666667,19.0,0.2771604938271605,22.20612603565155,0.38235294117647056,0.042448418841676216,0.5845679012345679,0.1303300989080134,449,1620,259,12,8,1904,82,22,124,44.57577817604534,7.234178138070234,11.06044001535804,1.1547005383792517,6.429100507328637,2.886751345948129,7.54983443527075,0.023895606290697036,0.028844410203711913,0.06757465007925187,3,28,Util,0.9237467923916934,0.9314734425654256,0.9311849740614101,0.8639613653961216,0.8653942022976371,0.9710029911219891,0.7156353477955781,0.9206273970819977,0.9298526361930696,0.8963805536947183,0.894925970259964,Highly Consistent,1.6409650304844403,1.063719272117229,3.5013246752069236,2.688408111006556,1.6844515914998883,1.1589648832087436,0.8063249976618283,1.5837583196724794,2.7000058565191956,16.827922737377286,0,0,0,0,0,0,0,1,0,18.510715011115014,67.37900264045865
5361,Freddie Freeman,616.3333333333334,122.66666666666667,196.66666666666666,2.0,27.0,95.0,14.666666666666666,0.319091400757166,102.87538706167885,0.4097515236755743,0.06648949753510358,0.5278528934559221,0.0736150911293676,590,1849,241,29,14,2133,131,6,81,18.876793513023692,7.371114795831994,15.631165450257807,0.0,5.291502622129181,10.44030650891055,7.637626158259733,0.01644181660685138,0.009073771725877432,0.03487119154832535,3,33,1B,0.9702825998591337,0.943315590954174,0.9263715258210982,1.0,0.836133279889461,0.900983723828342,0.6575714720834268,0.9509979466831333,0.9783351869490595,0.9380314571961814,0.9102022783264012,Guarantee,2.7926725207272263,2.410422926852088,0.08062064321216722,1.0062817662179153,1.6062776649044823,0.6617008870389738,3.735500559565928,2.4807353905176663,1.525059666514731,16.29927202555118,0,0,0,0,0,0,0,0,1,17.9291992281063,65.26228519030693
15640,Aaron Judge,495.6666666666667,100.33333333333333,144.33333333333334,0.0,46.0,101.33333333333333,8.333333333333334,0.29119031607262946,41.24537618210735,0.40794627867935085,0.06487188639861874,0.6153328850033625,0.16109508267680794,433,1487,274,9,13,1787,68,0,138,111.87641991650132,28.728615235220328,41.23509831846329,0.0,13.892443989449806,28.148416178061126,6.8068592855540455,0.0220302821891444,0.026312227829154513,0.07100938905055679,3,31,"CF,RF",0.8158543445112739,0.777404451475792,0.7777903388447156,1.0,0.7680434615108211,0.7826070756359061,0.5504113153050316,0.9296652828345197,0.9394088372828704,0.8965393918822225,0.8237724499283153,Highly Consistent,1.7356259200934363,0.9109018361189477,-1.2021433687858665,3.2360771534958803,1.903338585967024,-0.06506956890145878,1.49765779948313,2.420382021291875,3.3373539215282673,13.774124300291236,1,0,1,0,0,0,0,0,0,13.774124300291236,50.1378124530601
16252,Trea Turner,628.6666666666666,103.33333333333333,186.33333333333334,4.0,25.0,84.33333333333333,29.666666666666668,0.2963944856839873,62.12762574274001,0.3501222493887531,0.008382262993362866,0.48568398727465534,0.03144618494810081,559,1886,131,15,11,2045,108,12,75,29.871948937646057,3.2145502536643185,14.153915830374764,1.0,3.6055512754639896,13.576941236277534,2.5166114784235836,0.031005375877955963,0.027622454633866252,0.04257933771208754,3,30,SS,0.9546390321997537,0.969829994313875,0.9294024139220077,0.8,0.8739562387473859,0.8613328244052182,0.9218037557554557,0.9052981399257867,0.9268753358029548,0.9193975131376836,0.9062535248210122,Guarantee,1.8776172545069305,2.1143391446054176,1.363384655210201,0.7715664622939189,1.1059645346938856,2.3829993353189463,2.255911616520731,0.3127437750493359,0.6514602861230357,12.835987064322403,0,0,0,0,0,1,0,0,0,15.53154434783011,56.5348214261016
18401,Ronald Acuna Jr.,469.0,97.33333333333333,141.66666666666666,1.6666666666666665,26.666666666666664,69.33333333333333,39.666666666666664,0.30206112295664533,54.32161687170475,0.3968058968058968,0.053350639459536664,0.535181236673774,0.08094343434721951,425,1407,182,28,11,1628,78,5,80,173.00867030296487,44.747439405326126,68.23733093647006,2.081665999466133,13.203534880225574,31.77000681985028,29.484459183327974,0.03707200201409866,0.03306055050963309,0.10565509926170152,3,25,RF,0.73051972924085,0.685056334204814,0.674911713375342,0.4446421422851422,0.6688370169211059,0.6857669907669228,0.573622861220122,0.8906859894111,0.9230911118648765,0.8351293562224915,0.7112263245512767,Less Consistent,1.5936345856799423,0.8344931181198063,-0.13317335878750516,0.9671625488972488,0.40239919533523394,3.5305316341722603,1.9724682065994994,1.9905221774934672,1.6768785462099594,12.834916653719912,2,0,0,0,0,0,0,0,0,12.834916653719912,46.71909661954048
25764,Bobby Witt Jr.,616.0,89.5,163.5,8.5,25.0,88.0,39.5,0.26542207792207795,2.425893380199227,0.3167420814479638,-0.029528689268848662,0.46266233766233766,0.008424535335783134,327,1232,70,10,13,1326,59,17,50,35.35533905932738,10.606601717798213,19.091883092036785,3.5355339059327378,7.0710678118654755,11.313708498984761,13.435028842544403,0.01555634918610406,0.017677669529663705,0.04737615433949869,2,23,SS,0.9457203511828325,0.8940469306140432,0.8954395848888126,0.7062420384865561,0.7795187907884576,0.8860810992764366,0.7461977609853205,0.9446350762718357,0.9471392778746303,0.9071125903585173,0.8652133500727442,Highly Consistent,1.2228794347113745,1.4600894967377729,4.249603682205777,0.7715664622939189,1.2779471732037784,3.511406095858039,0.08808643484129418,-1.1017208314163867,0.1745283317948039,11.654386280230371,0,0,0,0,0,2,0,0,0,11.654386280230371,42.42196606003855
13611,Mookie Betts,540.6666666666666,112.0,152.0,2.3333333333333335,32.333333333333336,82.33333333333333,12.0,0.281134401972873,28.679220018411627,0.3804463336875664,0.03630893830518939,0.5363748458692972,0.08213704354274265,456,1622,219,27,14,1882,109,7,97,64.94099886307058,17.05872210923198,28.053520278211078,1.1547005383792517,8.326663997864532,24.5017006212494,2.0,0.023515952032609682,0.0342393535764525,0.045999999999999985,3,30,"2B,SS,RF",0.8927672112500997,0.8678220128757054,0.8441934362912541,0.6689537484874518,0.7952123820855346,0.7706585591420745,0.8571428571428571,0.922810028862837,0.9174329989483017,0.9210130720338087,0.8458006307119925,Highly Consistent,2.2878144428125804,1.1305769003664776,0.2944146452118396,1.6321892433485723,1.0121558227793985,0.3556922740114232,1.0413690338045634,1.3546931708763668,1.7016061559126285,10.810511689123851,3,0,0,0,1,3,0,0,0,11.891562858036238,43.28528880325191
18345,Kyle Tucker,541.3333333333334,83.66666666666667,150.66666666666666,3.0,29.666666666666668,103.66666666666667,23.0,0.27832512315270935,24.152314001171703,0.36,0.01640269636360664,0.5166256157635468,0.06238781343699229,452,1624,192,5,17,1850,102,9,89,34.07834111768549,13.012814197295425,11.590225767142474,2.0,0.5773502691896258,10.408329997330664,8.18535277187245,0.019139836293274114,0.02025668613898464,0.039501054838236106,3,26,RF,0.9407757217470457,0.8654025230482384,0.9285686691437741,0.6000000000000001,0.9809102649818603,0.9087588840524982,0.7375257278072157,0.9356568372660724,0.9467289152896556,0.9289711194834583,0.877329866281982,Highly Consistent,0.9467851733518029,1.092372541366907,0.7220026492111841,1.3192355047832438,2.0127820832005923,1.6179778027500695,0.8769928847227274,0.6119876202648615,1.2924678417853106,10.492604101436699,4,0,0,0,0,0,0,0,0,11.54186451158037,42.01238682215255
9218,Paul Goldschmidt,585.6666666666666,99.0,171.33333333333334,0.6666666666666667,30.333333333333332,98.0,10.0,0.292544109277177,51.113063854715904,0.3822508676251859,0.040163465646742225,0.5116676152532726,0.057429812926718116,514,1757,233,12,12,2017,108,2,91,21.93931022920578,8.888194417315589,10.692676621563628,1.1547005383792517,5.033222956847167,17.52141546793523,2.6457513110645907,0.02451530134426252,0.023115651263447765,0.06550572494064928,3,35,1B,0.9638922080041264,0.9176166172275001,0.9412574245613959,0.3660254037844386,0.8576841093729943,0.8483275555708667,0.790779428917786,0.9226791556313931,0.9429759237965128,0.8865059759713775,0.8437743802838391,Highly Consistent,1.672518660354106,1.6845401058602498,-0.7745553647865219,1.3974739394245757,1.7469907327762126,0.12618581424076028,1.855962675658723,1.4985062954207318,1.1897545735032566,10.397377432452094,0,0,0,0,0,0,0,0,2,8.317901945961676,30.2771630833005
20123,Juan Soto,531.3333333333334,100.33333333333333,146.66666666666666,1.6666666666666667,30.333333333333332,88.66666666666667,9.0,0.27603513174404015,20.055904259770728,0.42941757156959526,0.0882026851811476,0.5018820577164367,0.04764425538988215,440,1594,412,8,10,2026,77,5,91,33.605555096342826,9.451631252505218,17.039170558842745,0.5773502691896258,4.163331998932266,24.13158373031769,3.0,0.03552933060632206,0.034645827069552465,0.04366157731156004,3,24,LF,0.9405147073699351,0.9139077806495517,0.8959159254940261,0.7427157255525279,0.8793120448358758,0.7860642018347933,0.75,0.8859647524037308,0.925342470078118,0.9199668468145186,0.8639704455033078,Highly Consistent,1.7356259200934363,0.9777594643681955,-0.13317335878750503,1.3974739394245757,1.3092167438419409,0.011432584355428809,0.728248454025808,3.2908584179334492,0.9870303917514222,10.30447255700675,0,1,0,0,0,0,0,0,0,10.30447255700675,37.508280107504575
